Organ,All Ages,All Ages,All Ages,< 1 Year,< 1 Year,< 1 Year,1-5 Years,1-5 Years,1-5 Years,6-10 Years,6-10 Years,6-10 Years,11-17 Years,11-17 Years,11-17 Years,18-34 Years,18-34 Years,18-34 Years,35-49 Years,35-49 Years,35-49 Years,50-64 Years,50-64 Years,50-64 Years,65 +,65 +,65 +
Type,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female,All Genders,Male,Female
All Organs,"113,602","70,371","43,231",110,45,65,595,351,244,492,287,205,"1,031",607,424,"9,366","5,143","4,223","25,972","15,639","10,333","47,749","30,660","17,089","28,287","17,639","10,648"
Kidney,"96,288","59,925","36,363",0,0,0,246,170,76,267,168,99,731,437,294,"7,743","4,318","3,425","21,880","13,300","8,580","40,789","26,205","14,584","24,632","15,327","9,305"
Liver,"9,625","5,676","3,949",32,13,19,125,65,60,58,29,29,117,60,57,566,291,275,"1,744",998,746,"4,307","2,609","1,698","2,676","1,611","1,065"
Pancreas,852,419,433,1,0,1,18,11,7,8,4,4,20,13,7,164,59,105,413,198,215,217,126,91,11,8,3
Kidney / Pancreas,"2,250","1,202","1,048",0,0,0,0,0,0,1,1,0,3,2,1,459,199,260,"1,176",624,552,591,362,229,20,14,6
Heart,"3,419","2,583",836,76,32,44,172,86,86,131,68,63,118,71,47,331,236,95,611,463,148,"1,442","1,172",270,538,455,83
Lung,912,432,480,0,0,0,3,0,3,8,5,3,8,4,4,53,15,38,83,29,54,352,157,195,405,222,183
Heart / Lung,43,27,16,0,0,0,0,0,0,1,1,0,2,1,1,6,3,3,17,12,5,16,10,6,1,0,1
Intestine,197,100,97,1,0,1,31,19,12,18,11,7,32,19,13,37,19,18,40,12,28,34,18,16,4,2,2
Abdominal Wall,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
VCA - head and neck,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0
VCA - upper limb,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0
VCA - uterus,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0
